rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:0yLdNVWF3Srea0uzk55zFn","Miley Cyrus","Flowers","Columbia",1,1,5,"428405"
2,"spotify:track:7oQepKHmXDaPC3rgeLRvQu","Udo Lindenberg, Apache 207","Komet","WM Germany",2,2,4,"261659"
3,"spotify:track:7DyDjhZMEIK5Ied4juTCyc","AYLIVA, MERO","Sie weiß (feat. Mero)","Whiteheart Records/WM Germany",1,3,6,"223674"
4,"spotify:track:473iuBry5Y4SSx9AGw9LLw","Bonez MC, Gzuz","Sturkopf (mit ner Glock)","187 Strassenbande",4,-1,1,"185856"
5,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",1,5,25,"164125"
6,"spotify:track:0NZPBYD5qbEWRs3PrGiRkT","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",1,4,21,"153270"
7,"spotify:track:7sJNeWTXkZCEC7OnFMpGWL","Luciano, Aitch, BIA","Bamba (feat. Aitch & BIA)","URBAN",1,6,21,"144071"
8,"spotify:track:561jH07mF1jHuk7KlaeF0s","Eminem","Mockingbird","Aftermath",5,8,19,"139097"
9,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",6,9,106,"131089"
10,"spotify:track:373gDROnujxNTFa1FojYIl","Linkin Park","Lost","Warner Records",10,-1,1,"130982"
11,"spotify:track:3rb0tMq42WfggucPm0HHkA","MEDUZA, James Carter, Elley Duhé, FAST BOY","Bad Memories (feat. Elley Duhé & FAST BOY)","Universal-Island Records Ltd.",9,11,28,"128606"
12,"spotify:track:11eYmv0tA3wEoyD1Sad2Nv","Nina Chuba","Mangos mit Chili","Jive",7,7,2,"125233"
13,"spotify:track:2dHHgzDwk4BJdRwy9uXhTO","Metro Boomin, The Weeknd, 21 Savage","Creepin' (with The Weeknd & 21 Savage)","Republic Records",7,10,11,"122541"
